Geocode,Year,WarDeathsData
SAS,2006,9026
SAS,2007,11233
SAS,2008,18427
SAS,2009,24485
SAS,2010,13944
SAS,2011,10705
SAS,2012,11155
SAS,2013,10278
SAS,2014,15899
SAS,2015,19903
SAS,2016,19451
SAS,2017,20421
SAS,2018,26728
SAS,2019,30801
SAS,2020,21432
SAU,1991,101
SAU,2004,58
SAU,2005,31
SAU,2006,11
SAU,2007,2
SAU,2015,78
SAU,2016,120
SAU,2017,4
SAU,2018,11
SAU,2019,2
SDN,1989,4515
SDN,1990,5030
SDN,1991,1313
SDN,1992,1083
SDN,1993,942
SDN,1994,337
SDN,1995,1036
SDN,1996,2289
SDN,1997,3859
SDN,1998,4891
SDN,1999,1408
SDN,2000,2841
SDN,2001,3457
SDN,2002,2312
SDN,2003,2008
SDN,2004,3673
SDN,2005,246
SDN,2006,1030
SDN,2007,217
SDN,2008,620
SDN,2009,373
SDN,2010,1054
SDN,2011,1404
SDN,2012,1411
SDN,2013,594
SDN,2014,849
SDN,2015,1264
SDN,2016,1309
SDN,2017,160
SDN,2018,243
SDN,2020,45
SEN,1990,58
SEN,1992,76
SEN,1993,233
SEN,1995,299
SEN,1997,319
SEN,1998,242
SEN,2000,47
SEN,2001,33
SEN,2003,39
SEN,2011,25
SLB,1992,2
SLE,1991,552
SLE,1992,218
SLE,1993,410
SLE,1994,628
SLE,1995,1472
SLE,1996,570
SLE,1997,748
SLE,1998,3287
SLE,1999,3153
SLE,2000,382
SLE,2001,50
SLV,1989,4924
SLV,1990,849
SLV,1991,88
SOM,1989,373
SOM,1990,2650
SOM,1991,8005
SOM,1992,1154
SOM,1993,25
SOM,1994,237
SOM,1995,104
SOM,1996,440
SOM,1999,25
SOM,2001,228
SOM,2002,114
SOM,2006,547
SOM,2007,1575
SOM,2008,1521
SOM,2009,1477
SOM,2010,2150
SOM,2011,1937
SOM,2012,2624
SOM,2013,913
SOM,2014,1111
SOM,2015,1197
SOM,2016,1925
SOM,2017,1918
SOM,2018,2208
SOM,2019,1945
SOM,2020,1942
SRB,1991,3022
SRB,1992,190
SRB,1998,1235
SRB,1999,1398
SSA,2020,9928
SSD,2011,220
SSD,2012,266
SSD,2013,926
SSD,2014,1674
SSD,2015,493
SSD,2016,735
SSD,2017,484
SSD,2018,526
SSD,2019,110
SSD,2020,58
SSF,2020,9928
SYR,2004,1
SYR,2011,1143
SYR,2012,50555
SYR,2013,71351
SYR,2014,64657
SYR,2015,50666
SYR,2016,42345
SYR,2017,21456
SYR,2018,13365
SYR,2019,7548
SYR,2020,4862
TCD,1989,50
TCD,1990,652
TCD,1991,68
TCD,1992,899
TCD,1993,120
TCD,1994,156
TCD,1997,97
TCD,1998,34
TCD,1999,394
TCD,2000,989
TCD,2001,226
TCD,2002,294
TCD,2003,37
TCD,2004,50
TCD,2005,100
TCD,2006,1250
TCD,2007,69
TCD,2008,991
TCD,2009,135
TCD,2010,4
TCD,2015,275
TCD,2017,57
TCD,2018,150
